type,file,clazz,path,parentAtr,options
IN,in_ParentFact_1.csv,com.redhat.example.fact.ExampleFactParent,parent,,
IN,in_ChildFact_1.csv,com.redhat.example.fact.ExampleFactChild,parent.childList,parent,
IN,in_String_1.csv,java.lang.String,parent.childList.strList,,checkByIndex=true
IN,in_BigDecimal_1.csv,java.math.BigDecimal,parent.childList.bdList,,checkByIndex=true
IN,in_Date_1.csv,java.util.Date,parent.childList.dateList,,checkByIndex=true
IN,in_Integer_1.csv,java.lang.Integer,parent.childList.intList,,checkByIndex=true
IN,in_Double_1.csv,java.lang.Double,parent.childList.doubleList,,checkByIndex=true
EX,ex_ParentFact_1.csv,com.redhat.example.fact.ExampleFactParent,parent,,
EX,ex_ChildFact_1.csv,com.redhat.example.fact.ExampleFactChild,parent.childList,parent,
EX,ex_ValidationResult_1.csv,com.redhat.example.fact.ExampleValidationResult,validationResult,,
EX,ex_String_1.csv,java.lang.String,parent.childList.strList,,checkByIndex=true
EX,ex_BigDecimal_1.csv,java.math.BigDecimal,parent.childList.bdList,,checkByIndex=true
EX,ex_Date_1.csv,java.util.Date,parent.childList.dateList,,checkByIndex=true
EX,ex_Integer_1.csv,java.lang.Integer,parent.childList.intList,,checkByIndex=true
EX,ex_Double_1.csv,java.lang.Double,parent.childList.doubleList,,checkByIndex=true
